run_id,best_val_mean_mae,mean_test_mae,test_target_0_mae,test_target_1_mae,test_target_2_mae,N,targets,batch_size,lr,alpha_lr,weight_decay,alpha,num_epochs,dims,hops,act_fn,readout_hidden_dims,pooling,apply_readout,learn_alpha,gso_generator,use_bn,dropout_p,patience
GI6H,1.0270734,1.0298618078231812,0.8280553221702576,1.5472503900527954,0.7142795324325562,1200,"[0, 1, 2]",64,0.001,0.01,1e-05,0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,False,hub_laplacian,True,0.2,25
0KON,2.0755498,2.114701986312866,0.9072200059890747,4.907021999359131,0.5298638939857483,1200,"[0, 1, 2]",64,0.001,0.01,1e-05,0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",max,True,False,hub_laplacian,True,0.2,25
0PK2,1.9317905,2.092259168624878,0.9255698323249817,4.964840888977051,0.38636672496795654,1200,"[0, 1, 2]",64,0.001,0.01,1e-05,0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",mean,True,False,hub_laplacian,True,0.2,25
YSMG,1.3311499,1.4910143613815308,0.9952149391174316,2.497807502746582,0.9800204038619995,1200,"[0, 1, 2]",64,0.001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,False,hub_laplacian,True,0.2,25
I97P,2.3880641,2.115792989730835,0.8266910314559937,4.999683380126953,0.5210045576095581,1200,"[0, 1, 2]",64,0.001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",max,True,False,hub_laplacian,True,0.2,25
GYUY,1.8967541,2.3103158473968506,0.9329382181167603,5.52545690536499,0.4725525677204132,1200,"[0, 1, 2]",64,0.001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",mean,True,False,hub_laplacian,True,0.2,25
IK8Z,1.3755242,1.219326138496399,0.9333600997924805,1.942908525466919,0.7817099094390869,1200,"[0, 1, 2]",64,0.001,0.01,1e-05,-0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,False,hub_laplacian,True,0.2,25
AH3F,2.2563257,2.3668196201324463,1.0998389720916748,5.3855204582214355,0.6150994896888733,1200,"[0, 1, 2]",64,0.001,0.01,1e-05,-0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",max,True,False,hub_laplacian,True,0.2,25
ESHD,2.0527766,2.1592485904693604,1.0360592603683472,4.8983988761901855,0.5432876348495483,1200,"[0, 1, 2]",64,0.001,0.01,1e-05,-0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",mean,True,False,hub_laplacian,True,0.2,25
9DBW,1.3881935,1.248942255973816,0.9462657570838928,1.929469347000122,0.871091902256012,1200,"[0, 1, 2]",64,0.001,0.01,1e-05,1.0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,False,hub_laplacian,True,0.2,25
OFOM,2.383846,2.5133845806121826,1.025291919708252,5.925906181335449,0.588955283164978,1200,"[0, 1, 2]",64,0.001,0.01,1e-05,1.0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",max,True,False,hub_laplacian,True,0.2,25
RA1E,2.3206196,1.7437015771865845,0.7621100544929504,4.064420223236084,0.40457454323768616,1200,"[0, 1, 2]",64,0.001,0.01,1e-05,1.0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",mean,True,False,hub_laplacian,True,0.2,25
B52F,1.1561424,1.1428802013397217,0.9537556171417236,1.7560349702835083,0.7188499569892883,1200,"[0, 1, 2]",64,0.001,0.01,1e-05,0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,True,hub_laplacian,True,0.2,25
