run_id,best_val_mean_mae,mean_test_mae,test_target_0_mae,N,targets,batch_size,lr,alpha_lr,weight_decay,alpha,num_epochs,dims,hops,act_fn,readout_hidden_dims,pooling,apply_readout,learn_alpha,gso_generator,use_bn,dropout_p,patience
8LVY,1.0288523,1.0824170112609863,1.0824170112609863,1200,[0],64,0.0001,0.01,1e-05,0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,True,hub_laplacian,True,0.2,50
QEEQ,1.0578338,1.0573810338974,1.0573810338974,1200,[0],64,0.0001,0.01,1e-05,0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",max,True,True,hub_laplacian,True,0.2,50
41PY,0.9686531,0.7804631590843201,0.7804631590843201,1200,[0],64,0.0001,0.01,1e-05,0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",mean,True,True,hub_laplacian,True,0.2,50
MPVD,1.1599004,1.250004768371582,1.250004768371582,1200,[0],64,0.0001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,True,hub_laplacian,True,0.2,50
Z7AB,1.1177913,1.097830891609192,1.097830891609192,1200,[0],64,0.0001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",max,True,True,hub_laplacian,True,0.2,50
SZ18,1.0665524,0.9003280401229858,0.9003280401229858,1200,[0],64,0.0001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",mean,True,True,hub_laplacian,True,0.2,50
H8SG,1.1241854,1.2414196729660034,1.2414196729660034,1200,[0],64,0.0001,0.01,1e-05,-0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,True,hub_laplacian,True,0.2,50
FW1T,1.038239,1.0239959955215454,1.0239959955215454,1200,[0],64,0.0001,0.01,1e-05,-0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",max,True,True,hub_laplacian,True,0.2,50
2HCH,0.93175673,0.9047000408172607,0.9047000408172607,1200,[0],64,0.0001,0.01,1e-05,-0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",mean,True,True,hub_laplacian,True,0.2,50
LYJZ,1.079942,1.014541745185852,1.014541745185852,1200,[0],64,0.0001,0.01,1e-05,1.0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,True,hub_laplacian,True,0.2,50
FXDP,1.1136062,0.8985641598701477,0.8985641598701477,1200,[0],64,0.0001,0.01,1e-05,1.0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",max,True,True,hub_laplacian,True,0.2,50
K6DE,0.87026334,0.8510243892669678,0.8510243892669678,1200,[0],64,0.0001,0.01,1e-05,1.0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",mean,True,True,hub_laplacian,True,0.2,50
NQIX,1.0900977,1.1357605457305908,1.1357605457305908,1200,[0],64,0.0001,0.01,1e-05,0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,False,hub_laplacian,True,0.2,50
9YHF,1.045761,1.0389512777328491,1.0389512777328491,1200,[0],64,0.0001,0.01,1e-05,0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",max,True,False,hub_laplacian,True,0.2,50
TGSN,0.9515502,0.9442263841629028,0.9442263841629028,1200,[0],64,0.0001,0.01,1e-05,0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",mean,True,False,hub_laplacian,True,0.2,50
6DCF,1.2485038,1.3018232583999634,1.3018232583999634,1200,[0],64,0.0001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,False,hub_laplacian,True,0.2,50
OHNP,1.1187315,1.0973789691925049,1.0973789691925049,1200,[0],64,0.0001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",max,True,False,hub_laplacian,True,0.2,50
CKNO,1.0025394,1.0407204627990723,1.0407204627990723,1200,[0],64,0.0001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",mean,True,False,hub_laplacian,True,0.2,50
TDH8,1.4619277,1.4065169095993042,1.4065169095993042,1200,[0],64,0.0001,0.01,1e-05,-0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,False,hub_laplacian,True,0.2,50
BICA,1.1909715,1.355775237083435,1.355775237083435,1200,[0],64,0.0001,0.01,1e-05,-0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",max,True,False,hub_laplacian,True,0.2,50
2ZEB,1.0789921,1.0578504800796509,1.0578504800796509,1200,[0],64,0.0001,0.01,1e-05,-0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",mean,True,False,hub_laplacian,True,0.2,50
BR4Z,1.2643251,1.3309260606765747,1.3309260606765747,1200,[0],64,0.0001,0.01,1e-05,1.0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,False,hub_laplacian,True,0.2,50
DUXL,1.0842128,1.099127173423767,1.099127173423767,1200,[0],64,0.0001,0.01,1e-05,1.0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",max,True,False,hub_laplacian,True,0.2,50
UHX9,0.9331446,0.8091168999671936,0.8091168999671936,1200,[0],64,0.0001,0.01,1e-05,1.0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",mean,True,False,hub_laplacian,True,0.2,50
IYZV,2.5704,3.486715316772461,3.486715316772461,1200,[1],64,0.0001,0.01,1e-05,0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,True,hub_laplacian,True,0.2,50
NGOL,5.625768,5.615431785583496,5.615431785583496,1200,[1],64,0.0001,0.01,1e-05,0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",max,True,True,hub_laplacian,True,0.2,50
MS89,6.0999646,6.1723408699035645,6.1723408699035645,1200,[1],64,0.0001,0.01,1e-05,0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",mean,True,True,hub_laplacian,True,0.2,50
P3UC,3.7494223,3.3950321674346924,3.3950321674346924,1200,[1],64,0.0001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,True,hub_laplacian,True,0.2,50
O8BV,6.281913,7.769326210021973,7.769326210021973,1200,[1],64,0.0001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",max,True,True,hub_laplacian,True,0.2,50
5V5Y,5.0935054,7.089943885803223,7.089943885803223,1200,[1],64,0.0001,0.01,1e-05,0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",mean,True,True,hub_laplacian,True,0.2,50
ETWT,2.6624248,4.231235027313232,4.231235027313232,1200,[1],64,0.0001,0.01,1e-05,-0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,True,hub_laplacian,True,0.2,50
7PEJ,7.293324,7.013474464416504,7.013474464416504,1200,[1],64,0.0001,0.01,1e-05,-0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",max,True,True,hub_laplacian,True,0.2,50
5WFX,6.187355,6.137482166290283,6.137482166290283,1200,[1],64,0.0001,0.01,1e-05,-0.5,250,"[11, 64, 64]",2,ReLU,"[64, 32]",mean,True,True,hub_laplacian,True,0.2,50
X5IW,3.2997446,2.9574134349823,2.9574134349823,1200,[1],64,0.0001,0.01,1e-05,1.0,250,"[11, 64, 64]",2,ReLU,"[64, 32]",sum,True,True,hub_laplacian,True,0.2,50
