run_id,best_val_mean_mae,mean_test_mae,test_target_0_mae,test_target_1_mae,test_target_2_mae,N,targets,batch_size,lr,weight_decay,alpha,num_epochs,dims,degrees,act_fns,readout_dims,pooling,apply_readout,learn_alpha,gso_generator
2UX3,0.6269889,0.6377527117729187,0.729337751865387,0.6293599009513855,0.5545605421066284,1000,"[0, 1, 2]",64,0.001,1e-05,0.0,300,"[11, 64, 64]","[1, 1]","[ReLU(), ReLU()]","[64, 3]",sum,True,False,hub_laplacian
R9KJ,0.7202309,0.711176872253418,0.706987738609314,0.7555584907531738,0.6709845066070557,1000,"[0, 1, 2]",64,0.001,1e-05,0.5,300,"[11, 64, 64]","[1, 1]","[ReLU(), ReLU()]","[64, 3]",sum,True,False,hub_laplacian
KGHC,0.7686886,0.6704835295677185,0.6692100763320923,0.8058390021324158,0.5364015102386475,1000,"[0, 1, 2]",64,0.001,1e-05,-0.5,300,"[11, 64, 64]","[1, 1]","[ReLU(), ReLU()]","[64, 3]",sum,True,False,hub_laplacian
D39X,1.4945478,1.5312976837158203,0.5863093137741089,3.6695494651794434,0.3380342423915863,1000,"[0, 1, 2]",64,0.001,1e-05,0.0,300,"[11, 64, 64]","[1, 1]","[ReLU(), ReLU()]","[64, 3]",max,True,False,hub_laplacian
46EU,1.5129501,1.6723116636276245,0.615376353263855,4.014711380004883,0.38684722781181335,1000,"[0, 1, 2]",64,0.001,1e-05,0.5,300,"[11, 64, 64]","[1, 1]","[ReLU(), ReLU()]","[64, 3]",max,True,False,hub_laplacian
SZ3L,1.7032723,1.6854958534240723,0.6901812553405762,3.9848785400390625,0.38142791390419006,1000,"[0, 1, 2]",64,0.001,1e-05,-0.5,300,"[11, 64, 64]","[1, 1]","[ReLU(), ReLU()]","[64, 3]",max,True,False,hub_laplacian
BVU9,1.5745937,2.02290940284729,0.9081739187240601,4.768368721008301,0.3921855092048645,1000,"[0, 1, 2]",64,0.001,1e-05,0.0,300,"[11, 64, 64]","[1, 1]","[ReLU(), ReLU()]","[64, 3]",mean,True,False,hub_laplacian
FF9D,1.8579682,1.9073032140731812,0.9552509784698486,4.413149833679199,0.3535090386867523,1000,"[0, 1, 2]",64,0.001,1e-05,0.5,300,"[11, 64, 64]","[1, 1]","[ReLU(), ReLU()]","[64, 3]",mean,True,False,hub_laplacian
B59B,1.5065727,1.8128234148025513,0.7259246110916138,4.3949103355407715,0.31763559579849243,1000,"[0, 1, 2]",64,0.001,1e-05,-0.5,300,"[11, 64, 64]","[1, 1]","[ReLU(), ReLU()]","[64, 3]",mean,True,False,hub_laplacian
0REU,0.6800613,0.779793918132782,0.8259844779968262,0.9652479290962219,0.5481494069099426,1000,"[0, 1, 2]",64,0.001,1e-05,0.0,500,"[11, 64, 64]","[1, 1]","[ReLU(), ReLU()]","[64, 3]",sum,True,False,hub_laplacian
99B6,0.7156987,0.7457664608955383,0.7949030995368958,0.9530943036079407,0.48930203914642334,1000,"[0, 1, 2]",64,0.001,1e-05,0.5,500,"[11, 64, 64]","[1, 1]","[ReLU(), ReLU()]","[64, 3]",sum,True,False,hub_laplacian
MWY9,0.80519134,0.8255173563957214,0.7951937913894653,1.034603476524353,0.6467546224594116,1000,"[0, 1, 2]",64,0.001,1e-05,-0.5,500,"[11, 64, 64]","[1, 1]","[ReLU(), ReLU()]","[64, 3]",sum,True,False,hub_laplacian
DR1L,1.4108535,1.6902393102645874,0.6872440576553345,4.046937465667725,0.3365365266799927,1000,"[0, 1, 2]",64,0.001,1e-05,0.0,500,"[11, 64, 64]","[1, 1]","[ReLU(), ReLU()]","[64, 3]",max,True,False,hub_laplacian
QQPO,1.6759472,1.850621223449707,0.8152925372123718,4.355964183807373,0.3806073069572449,1000,"[0, 1, 2]",64,0.001,1e-05,0.5,500,"[11, 64, 64]","[1, 1]","[ReLU(), ReLU()]","[64, 3]",max,True,False,hub_laplacian
IDRE,1.7293086,1.6956387758255005,0.6445779204368591,4.114139556884766,0.3281988203525543,1000,"[0, 1, 2]",64,0.001,1e-05,-0.5,500,"[11, 64, 64]","[1, 1]","[ReLU(), ReLU()]","[64, 3]",max,True,False,hub_laplacian
1CCS,1.8943949,1.6127156019210815,0.7861812114715576,3.75814151763916,0.2938236892223358,1000,"[0, 1, 2]",64,0.001,1e-05,0.0,500,"[11, 64, 64]","[1, 1]","[ReLU(), ReLU()]","[64, 3]",mean,True,False,hub_laplacian
1W4T,2.042475,1.5318059921264648,0.7402073740959167,3.5981500148773193,0.2570606768131256,1000,"[0, 1, 2]",64,0.001,1e-05,0.5,500,"[11, 64, 64]","[1, 1]","[ReLU(), ReLU()]","[64, 3]",mean,True,False,hub_laplacian
YWB0,1.6718498,1.856971263885498,0.7388803362846375,4.529695510864258,0.30233827233314514,1000,"[0, 1, 2]",64,0.001,1e-05,-0.5,500,"[11, 64, 64]","[1, 1]","[ReLU(), ReLU()]","[64, 3]",mean,True,False,hub_laplacian
